Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,23.23,µg/m3,2019-01-01 00:00:00 +01:00,2019-01-02 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,21.28,µg/m3,2019-01-03 00:00:00 +01:00,2019-01-04 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,23.78,µg/m3,2019-01-07 00:00:00 +01:00,2019-01-08 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,22.42,µg/m3,2019-01-11 00:00:00 +01:00,2019-01-12 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.3,µg/m3,2019-01-13 00:00:00 +01:00,2019-01-14 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,23.78,µg/m3,2019-01-17 00:00:00 +01:00,2019-01-18 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.5,µg/m3,2019-01-19 00:00:00 +01:00,2019-01-20 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,19.75,µg/m3,2019-01-21 00:00:00 +01:00,2019-01-22 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,6.54,µg/m3,2019-01-23 00:00:00 +01:00,2019-01-24 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1148A,ES1148A,SP_08194008_9_M,SPP_08194008_9_M.1,SAM_08194008_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,19.07,µg/m3,2019-01-25 00:00:00 +01:00,2019-01-26 00:00:00 +01:00,1,1
