Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.0,µg/m3,2017-01-02 00:00:00 +01:00,2017-01-03 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,28.0,µg/m3,2017-01-04 00:00:00 +01:00,2017-01-05 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,28.0,µg/m3,2017-01-05 00:00:00 +01:00,2017-01-06 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,24.0,µg/m3,2017-01-09 00:00:00 +01:00,2017-01-10 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.0,µg/m3,2017-01-11 00:00:00 +01:00,2017-01-12 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.0,µg/m3,2017-01-12 00:00:00 +01:00,2017-01-13 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,11.0,µg/m3,2017-01-16 00:00:00 +01:00,2017-01-17 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.0,µg/m3,2017-01-17 00:00:00 +01:00,2017-01-18 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,24.0,µg/m3,2017-01-18 00:00:00 +01:00,2017-01-19 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.0,µg/m3,2017-01-19 00:00:00 +01:00,2017-01-20 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,20.0,µg/m3,2017-01-23 00:00:00 +01:00,2017-01-24 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,29.0,µg/m3,2017-01-24 00:00:00 +01:00,2017-01-25 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,22.0,µg/m3,2017-01-25 00:00:00 +01:00,2017-01-26 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES0700A,ES0700A,SP_08252002_9_M,SPP_08252002_9_M.1,SAM_08252002_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,26.0,µg/m3,2017-01-26 00:00:00 +01:00,2017-01-27 00:00:00 +01:00,1,1
