Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,25.14,µg/m3,2019-01-01 00:00:00 +01:00,2019-01-02 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,21.53,µg/m3,2019-01-09 00:00:00 +01:00,2019-01-10 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,6.4,µg/m3,2019-01-23 00:00:00 +01:00,2019-01-24 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.09,µg/m3,2019-01-25 00:00:00 +01:00,2019-01-26 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,19.44,µg/m3,2019-01-27 00:00:00 +01:00,2019-01-28 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.58,µg/m3,2019-01-29 00:00:00 +01:00,2019-01-30 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.14,µg/m3,2019-01-31 00:00:00 +01:00,2019-02-01 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.28,µg/m3,2019-02-02 00:00:00 +01:00,2019-02-03 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.44,µg/m3,2019-02-04 00:00:00 +01:00,2019-02-05 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1453A,ES1453A,SP_08245012_9_M,SPP_08245012_9_M.1,SAM_08245012_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,31.39,µg/m3,2019-02-06 00:00:00 +01:00,2019-02-07 00:00:00 +01:00,1,1
