Location,Year,Percent deaths,upper,lower
Albania,1990,0.0413416465140025,0.0457663025248183,0.0278625415044946
Albania,1991,0.0399641833256127,0.0440585112264662,0.0275127407153092
Albania,1992,0.0390307464481831,0.0428885628574595,0.0271819809660954
Albania,1993,0.0378456272827942,0.0415267847682298,0.0268250772777666
Albania,1994,0.0364292568387299,0.0403619185745526,0.0266457128098215
Albania,1995,0.0357727902078053,0.039460161860834,0.0269876832064609
Albania,1996,0.0349996387058325,0.0384177492068898,0.0271885640774925
Albania,1997,0.0299783281632081,0.0329321541816078,0.0240726723830593
Albania,1998,0.0318393811335888,0.034674236754577,0.0263319995328432
Albania,1999,0.0309225030607706,0.0335608268926217,0.0260620632786393
Albania,2000,0.0305173732674963,0.0331117010506251,0.0260904665245695
Albania,2001,0.0294141587553636,0.0321065965480759,0.0255948685847114
Albania,2002,0.0285828857802931,0.0310967423817779,0.0252826943496575
Albania,2003,0.0279563784520959,0.0305634130321588,0.0249803909161659
Albania,2004,0.0271306435085855,0.030017516838201,0.0243529477611406
Albania,2005,0.0261896130888904,0.0295080463687282,0.0236691788180048
Albania,2006,0.0252235381732147,0.0291373239924609,0.0226714169515024
Albania,2007,0.0245049288453243,0.0288466246763868,0.0220174466980339
Albania,2008,0.0239258045937539,0.0285055114088729,0.0212637856705743
Albania,2009,0.0238498265473648,0.0288270733938823,0.0210610403714961
Albania,2010,0.0238964761055908,0.0292749640695243,0.0209533551616332
Albania,2011,0.024290434332423,0.0294294626629894,0.0212281801972036
Albania,2012,0.0246156728472664,0.0295353470741392,0.0213685201052702
Albania,2013,0.0250481157654209,0.029981773574365,0.0216783640369078
Albania,2014,0.0255302708592335,0.030250194702981,0.0220417957201383
Albania,2015,0.0259159404873216,0.0305433815322978,0.0224024214238904
Albania,2016,0.0261712461454654,0.0309157522978603,0.0225322269234121
Albania,2017,0.0263701896331355,0.0310005780204081,0.022521548299344
Albania,2018,0.0265306161961358,0.0310187971694215,0.0224704310609609
Albania,2019,0.0266014939876072,0.0311038012866722,0.0224251727466852
Andorra,1990,0.053493092887771,0.0618877082300779,0.0449132178613211
Andorra,1991,0.0534879435871641,0.0617421146797365,0.0451411946750149
Andorra,1992,0.0536196934478825,0.0619423242997614,0.0456616767965734
Andorra,1993,0.0532493911967493,0.061469163773455,0.0456257463368983
Andorra,1994,0.0536076778039603,0.0616125392203943,0.0458329590678094
Andorra,1995,0.0540211709872781,0.0623551657441094,0.0459772311964277
Andorra,1996,0.0542517753135863,0.0625418130621675,0.0464320376449935
Andorra,1997,0.0543458647927307,0.0620371867284933,0.0466035510886438
Andorra,1998,0.0544281383755631,0.0618442619233571,0.0467184037662226
Andorra,1999,0.0545318673035682,0.0620827987252155,0.0467118812590002
Andorra,2000,0.0546962482546935,0.062529249304543,0.0469896988746101
Andorra,2001,0.0548486788974865,0.0629971085184978,0.047357606407259
Andorra,2002,0.054918195354899,0.0631817488211485,0.0470793900328177
Andorra,2003,0.0544949106890053,0.0625159734800905,0.0467505617411349
Andorra,2004,0.0540708771648898,0.0619678819849341,0.0459396420524161
Andorra,2005,0.0541461668430381,0.0619659019320794,0.0458037638603861
Andorra,2006,0.0540190910949151,0.0617173349537766,0.045775890670845
Andorra,2007,0.0539650170123196,0.0617927573071137,0.0454725983834667
Andorra,2008,0.054060262731336,0.0618418474964934,0.0455564706428609
Andorra,2009,0.054124168860279,0.0621784544499959,0.045719011181521
Andorra,2010,0.0543129716676592,0.0627466861983646,0.0457892175750591
Andorra,2011,0.0550198428416067,0.0638591879834776,0.0465777563572955
Andorra,2012,0.0553137898061131,0.0641161394943478,0.0465497551391442
Andorra,2013,0.0553959190542931,0.0640123447369038,0.046732192761228
Andorra,2014,0.0551703329237662,0.0640596062783404,0.0467401818238689
Andorra,2015,0.0552918354165704,0.0640135221661939,0.0466289175701789
Andorra,2016,0.0552268095121004,0.0637982353857095,0.046521422779499
Andorra,2017,0.0548870849108231,0.0638386691584335,0.0462364480793584
Andorra,2018,0.0546279483539768,0.0635389062420322,0.0458724655347836
Andorra,2019,0.0542550161814756,0.0635363882704084,0.0452764046189043
Austria,1990,0.0243527618277742,0.02812072411963,0.0224062275070688
Austria,1991,0.0242674151899894,0.0280982849846019,0.022259143458322
Austria,1992,0.0243826736073233,0.0282979946147786,0.022324504801448
Austria,1993,0.0246995606094254,0.0286353537382641,0.0226099759977994
Austria,1994,0.0247440139041639,0.028748903184866,0.0225890388252821
Austria,1995,0.0252939151191788,0.0293845658845591,0.0230669269033222
Austria,1996,0.0257222730035026,0.0297904104367353,0.0234642069222123
Austria,1997,0.0264275893935177,0.0304208619557918,0.0242340244031802
Austria,1998,0.0272725479018603,0.0310423965000545,0.0250641222914889
Austria,1999,0.0285269937234018,0.0317845182156133,0.0262561036037403
Austria,2000,0.0298651713309035,0.032493265411399,0.0272068263977059
Austria,2001,0.0312749881899792,0.0335454938989773,0.0284174286563537
Austria,2002,0.0328642505483125,0.0351737637486366,0.0296571184597867
Austria,2003,0.0344981429521957,0.0368066739992904,0.0308922088367431
Austria,2004,0.0350573321012057,0.0374331697595247,0.0313436907937577
Austria,2005,0.0354391958843307,0.0378689040796851,0.0314467044017989
Austria,2006,0.0356370839801953,0.0381576317352779,0.0315205836972277
Austria,2007,0.0357590913101263,0.0383184273791488,0.031756718391212
Austria,2008,0.0355007939754982,0.0380862385453397,0.0314525454697064
Austria,2009,0.035608362650428,0.0382667923100387,0.0316661777770173
Austria,2010,0.0355586986167812,0.0382955879683236,0.0315895794384714
Austria,2011,0.0355045057487837,0.0383147339985308,0.0316296954318355
Austria,2012,0.0357522163639812,0.0385332357200685,0.0318007317015252
Austria,2013,0.0362040543799869,0.0389517541062805,0.0319956765315216
Austria,2014,0.0364934589332738,0.0392146259010157,0.0321962980356407
Austria,2015,0.0371918977993771,0.0400623178927042,0.0327134489933831
Austria,2016,0.0375538865916121,0.0407537524359179,0.032823081522112
Austria,2017,0.0381531414421251,0.0418399129610695,0.033053093384497
Austria,2018,0.0377828897607681,0.0418986802916716,0.0327359845937175
Austria,2019,0.0377375318318445,0.0422732696058646,0.0325965725697588
Belarus,1990,0.0511570633476318,0.057679416238707,0.0364354897068875
Belarus,1991,0.0487819512865421,0.0547723401352908,0.0356309678584619
Belarus,1992,0.0463509514754961,0.0514948452512405,0.034541116443135
Belarus,1993,0.0447455655636211,0.0495266791051917,0.0343940232920803
Belarus,1994,0.0431964666874623,0.0475440492192597,0.0340359685888019
Belarus,1995,0.0417707730689142,0.0458956188127526,0.033500869533144
Belarus,1996,0.0406720653006098,0.0444628167079544,0.0330576249245114
Belarus,1997,0.039482903867832,0.0428438338463381,0.0326262400903995
Belarus,1998,0.0382026000602186,0.0412131652924334,0.0321379852592963
Belarus,1999,0.0369278880797632,0.0396622544534818,0.0315411344187646
Belarus,2000,0.035812684350174,0.038416851887529,0.0310730327498404
Belarus,2001,0.0341247556952665,0.0364817404077398,0.0305623949939931
Belarus,2002,0.0319784623979317,0.0342097384151359,0.0293907198797452
Belarus,2003,0.0296150669057142,0.0320866291596171,0.0273983863849886
Belarus,2004,0.0282105903932691,0.0315652664065988,0.0260424585397167
Belarus,2005,0.0264255268219194,0.0307830827832325,0.0242991178548279
Belarus,2006,0.0246652178604897,0.0296881465789826,0.0225515141335751
Belarus,2007,0.0231704327212559,0.0289645458383366,0.0211755322175324
Belarus,2008,0.0213682371290652,0.0278757089232561,0.0193980413486523
Belarus,2009,0.0195236687384742,0.0265518252881648,0.017543304620964
Belarus,2010,0.0180368421452985,0.0253328237467441,0.0160477365146984
Belarus,2011,0.0168662664728615,0.0246419542094297,0.0148379610251308
Belarus,2012,0.0166561028533403,0.0247326086442169,0.0145291255962354
Belarus,2013,0.0156371981493374,0.0242942707933688,0.0134478129038455
Belarus,2014,0.0154722993019713,0.0244852969801289,0.0132022210993042
Belarus,2015,0.0165602625433318,0.0253180821027669,0.0140720511111706
Belarus,2016,0.0171139387277883,0.0260224671299428,0.0144595895296983
Belarus,2017,0.0176403135658078,0.0261149095223154,0.0147744519750589
Belarus,2018,0.0179824850347887,0.026391246381216,0.0149657100371261
Belarus,2019,0.0184147566753784,0.0269243227055863,0.0152665499838208
Belgium,1990,0.0516285922019379,0.0557962759333322,0.0475994978075722
Belgium,1991,0.0530851249396142,0.0574534508172951,0.0488564015234412
Belgium,1992,0.0542866703445989,0.0588552671126132,0.0498437897226686
Belgium,1993,0.0563196175809647,0.0606083532044704,0.0516272891879643
Belgium,1994,0.057050070853588,0.0611492975261122,0.0523810205420914
Belgium,1995,0.0585621989265324,0.0624306648283356,0.053604198488776
