Location,Year,Percent deaths,upper,lower
Albania,1990,0.0064529160224655,0.0070265262578902,0.0059427413321423
Albania,1991,0.0067022647834925,0.0072744340536567,0.006178884940695
Albania,1992,0.0068923536297516,0.0074274290033597,0.0063720510060093
Albania,1993,0.0070312492168049,0.0076050016801267,0.0064745904802693
Albania,1994,0.0072370885810403,0.0079156755511199,0.0066067514410067
Albania,1995,0.0076794359865332,0.0083142324872993,0.0070554162424308
Albania,1996,0.0079871765477642,0.008602091731175,0.0073781858079523
Albania,1997,0.0073687126768374,0.0079539589479567,0.0067214387394376
Albania,1998,0.0085375316510672,0.0091643848744748,0.0078565658366191
Albania,1999,0.0093227049326867,0.009959870171291,0.0086685223790115
Albania,2000,0.0097149311414353,0.0103833929910002,0.0090193058371343
Albania,2001,0.0100435552299382,0.0107941567344751,0.0092794798282678
Albania,2002,0.0104070024620118,0.0110403615964085,0.0096928465301904
Albania,2003,0.0107491093235599,0.0114462908745201,0.0100312875167056
Albania,2004,0.0110286652082897,0.0117709834033705,0.0103031031761847
Albania,2005,0.0117362036040887,0.012499955255093,0.0109550663382591
Albania,2006,0.0122403956039083,0.0130413810886469,0.0113780945082432
Albania,2007,0.012511597260119,0.0134141046164017,0.0115741429260196
Albania,2008,0.0126891586022452,0.0134637975292792,0.011820626353703
Albania,2009,0.0127582745806161,0.0135966065475395,0.0118266707266461
Albania,2010,0.012751628051916,0.0136888098017118,0.011786456035192
Albania,2011,0.0124768955027899,0.0135009100743695,0.0114135480012792
Albania,2012,0.0123263477934836,0.0134911974578888,0.0111735835024136
Albania,2013,0.0121564900173148,0.013384643782711,0.0109681429307039
Albania,2014,0.0118631596076613,0.0132744288934981,0.010607052962803
Albania,2015,0.0116417860042962,0.013052526747168,0.010334494478783
Albania,2016,0.0115739465965076,0.0129816007685522,0.0102469283857995
Albania,2017,0.011496223140748,0.0130482876578686,0.0100289491598395
Albania,2018,0.0114333951886973,0.0130016249198863,0.009897842963176
Albania,2019,0.0113376733158689,0.0129309136943482,0.0098563533559032
Andorra,1990,0.021764071425836,0.0253743940237192,0.0188224826088239
Andorra,1991,0.0215970360163194,0.0250413524159525,0.0187476671672868
Andorra,1992,0.0214429209488422,0.0249131045688789,0.0186873866761621
Andorra,1993,0.0216018891308013,0.025141880795467,0.0188549228499759
Andorra,1994,0.0216858475768694,0.0253408150408022,0.0188431896763192
Andorra,1995,0.0213400339663088,0.024811317857218,0.0185527783560637
Andorra,1996,0.0211374242628853,0.0245299217444051,0.0184422917772601
Andorra,1997,0.0209512002329642,0.0242181263629858,0.0181490699061325
Andorra,1998,0.0207925431856478,0.0241017409664782,0.0179355189574377
Andorra,1999,0.0206489246229986,0.0239910672919206,0.0177627252254415
Andorra,2000,0.0205095547775283,0.0237901327382389,0.0175313386592334
Andorra,2001,0.0204381433039704,0.0237541360202157,0.0174301885471648
Andorra,2002,0.0203170475099201,0.0234294444911166,0.0173080832222506
Andorra,2003,0.0200758885943598,0.0231212876047858,0.017139043680522
Andorra,2004,0.0200332135069014,0.0228444728879471,0.0171313680048841
Andorra,2005,0.0198392205341704,0.0224192981716184,0.0171561573098297
Andorra,2006,0.0197626488709999,0.0222715900805533,0.0172097815350162
Andorra,2007,0.0195443789585266,0.022026073829693,0.0170497424407484
Andorra,2008,0.019523773660194,0.0219550448881893,0.0171480017722869
Andorra,2009,0.0196305352437764,0.0221721716325779,0.0172999379713078
Andorra,2010,0.0197212791754018,0.0222121098990375,0.0173154022685934
Andorra,2011,0.0197701558620404,0.0223783672958631,0.0171718538040142
Andorra,2012,0.0198918610194537,0.0225192622830696,0.0173095898514992
Andorra,2013,0.0201359967995715,0.0227780175344048,0.0175407297071634
Andorra,2014,0.0204424730350144,0.0231245560685736,0.0178624089252472
Andorra,2015,0.0206888863404281,0.0236199587239563,0.0178304882808556
Andorra,2016,0.0207027050105343,0.0235171105432303,0.0178140159772339
Andorra,2017,0.0207666741347629,0.0235140899803843,0.0179609694175239
Andorra,2018,0.0208471051226648,0.0236609506082733,0.0180626737146995
Andorra,2019,0.0209525101379601,0.0237694758164664,0.0180677532874069
Austria,1990,0.0208984726548037,0.0217193018146197,0.0197232214035674
Austria,1991,0.0210498268605796,0.0219189537018039,0.0199088266526923
Austria,1992,0.021375011178211,0.0222473344861347,0.0201514863026958
Austria,1993,0.021658003448796,0.0225590861578377,0.020424285353038
Austria,1994,0.0217893476486891,0.022683507085449,0.0205161555507698
Austria,1995,0.0217372536972919,0.0226168760810147,0.0204610876979455
Austria,1996,0.0218328811711763,0.0227063447952548,0.0205603960375327
Austria,1997,0.0216688103681478,0.022597037951698,0.0203291332016083
Austria,1998,0.021722450171645,0.022655460598279,0.0203865545443947
Austria,1999,0.0218261508284076,0.0227613069064871,0.0204730835672676
Austria,2000,0.0221533112096484,0.023112609132878,0.0207427629387221
Austria,2001,0.0222828711159698,0.0232714723965227,0.0208751594858895
Austria,2002,0.0223820504733452,0.0233836676828094,0.0210188491640017
Austria,2003,0.0227697324696772,0.0238593419892349,0.0212437845238624
Austria,2004,0.0228289409311864,0.0239379934148545,0.0212325221512294
Austria,2005,0.0231333170068294,0.024236197753938,0.0214120081742642
Austria,2006,0.0232018211948019,0.0243216835414557,0.0213456955182904
Austria,2007,0.023279597581299,0.0244733375520803,0.0214196911584247
Austria,2008,0.023292352452566,0.0245005569890194,0.0213669712037964
Austria,2009,0.0234341898074485,0.0247046002774258,0.0215046232668597
Austria,2010,0.0232599859791451,0.0245589801232385,0.0212608481339472
Austria,2011,0.0232902412758575,0.0246445495852458,0.0212238824681258
Austria,2012,0.0230434638924302,0.0243965517865736,0.0209131902821268
Austria,2013,0.0229025865551994,0.0242951184984817,0.0207536684529817
Austria,2014,0.022844591024206,0.0242404527918452,0.0207669368579294
Austria,2015,0.0223297496353563,0.0237754263024267,0.0202355580460434
Austria,2016,0.0221540986429272,0.0236239300654434,0.0200154620876638
Austria,2017,0.0217047153961938,0.0232835415559857,0.0196385746588232
Austria,2018,0.0216917525765914,0.0234010105263189,0.0195786395386862
Austria,2019,0.021528624117123,0.0233253064825671,0.019334650439832
Belarus,1990,0.01263998787713,0.0132338241980467,0.0120933489791656
Belarus,1991,0.0129337879086189,0.0135352505136467,0.0123440648119864
Belarus,1992,0.0132177841911004,0.0138078329577458,0.0126394139481217
Belarus,1993,0.0129892169663163,0.0136216484755,0.0122949927137864
Belarus,1994,0.0127330554449514,0.0133428088837915,0.012117975044661
Belarus,1995,0.0121964313014467,0.0128088145537985,0.0116111240626675
Belarus,1996,0.0123932500627323,0.0129743928106966,0.0118063042162592
Belarus,1997,0.0125869345050518,0.013190105970169,0.0120138300153878
Belarus,1998,0.0124462951458843,0.0129744370055382,0.0118816928749364
Belarus,1999,0.0123694131640782,0.0128743743303811,0.0118136601060309
Belarus,2000,0.0117301131702118,0.0122033089272593,0.0111741376754347
Belarus,2001,0.0115018976939173,0.011935817417777,0.0109941394277668
Belarus,2002,0.0107300656457579,0.01119164368137,0.0102089428348726
Belarus,2003,0.0104450797482718,0.0109223108789849,0.0099579963086749
Belarus,2004,0.0104763552647512,0.0109720419196482,0.0099750414095965
Belarus,2005,0.010177945163327,0.0106899364274114,0.0097005343424116
Belarus,2006,0.0102253761436282,0.0107035930685838,0.0097752358559025
Belarus,2007,0.0104191361752192,0.0108795528421891,0.009933741417586
Belarus,2008,0.0101869943592723,0.0106171040528079,0.0097147337511015
Belarus,2009,0.0103843604140691,0.010829376807218,0.0099757180011186
Belarus,2010,0.0103964282648402,0.0108509541845335,0.0099253067150127
Belarus,2011,0.0103931115962261,0.0108849869555236,0.0098849041239517
Belarus,2012,0.0103333372808553,0.0109008013804256,0.0098110349482784
Belarus,2013,0.010401681782501,0.0111843061116169,0.0096681578714461
Belarus,2014,0.0103215791779138,0.0112155079520721,0.0095360674629397
Belarus,2015,0.0101961628090181,0.0112630956198146,0.0094034127393835
Belarus,2016,0.0103041913371386,0.0114495860657783,0.0093637010578457
Belarus,2017,0.0103356414703978,0.0116682525660379,0.0093934631917694
Belarus,2018,0.0105628832423287,0.0119685057011215,0.0096036827216875
Belarus,2019,0.0106373124566717,0.0120896578588117,0.0096371037464274
Belgium,1990,0.0287391581785302,0.0300572045548263,0.0270370821966095
Belgium,1991,0.028854414359415,0.0301764628095346,0.0271457934288846
Belgium,1992,0.0290449358869352,0.0303930632518673,0.0273782874842487
Belgium,1993,0.0287694351305316,0.0301012872716269,0.0269946561063692
Belgium,1994,0.0292895878614347,0.0306988330915818,0.0274753843033311
Belgium,1995,0.0291169235261437,0.0304688822306557,0.027262422020932
Belgium,1996,0.0289018267414221,0.0302319478908152,0.0270262619515307
Belgium,1997,0.028786403879932,0.0300809887107043,0.0268409171412359
Belgium,1998,0.0290904293040629,0.0304428516211716,0.0271319374697675
Belgium,1999,0.0286122718436968,0.0299027146512787,0.0267721746715862
Belgium,2000,0.0282214431209903,0.0295006624651211,0.0264832015296235
Belgium,2001,0.027927735096092,0.0292155469192925,0.0261458387947332
Belgium,2002,0.0277211876314831,0.0289532282045291,0.0259668708567711
Belgium,2003,0.027483790227057,0.0286763354378415,0.025776955373017
Belgium,2004,0.0274647720483867,0.0286023698175379,0.0256637546054156
Belgium,2005,0.0272260788598562,0.0284204398250167,0.0254263845899926
Belgium,2006,0.0268066822621002,0.0280226610508367,0.0249486177639423
Belgium,2007,0.0265078696870638,0.0277224418947175,0.0246166742703003
Belgium,2008,0.0251969477930624,0.0263585411992281,0.0233326247111819
Belgium,2009,0.0264006132006831,0.0276661305288854,0.0244058410786883
Belgium,2010,0.026945497155941,0.0283309398385722,0.0247626470389311
Belgium,2011,0.0271347149511468,0.0285941673092472,0.0249451305738599
Belgium,2012,0.0268570085008975,0.0284080695091854,0.0244784428773753
Belgium,2013,0.0270536096524685,0.0287415780199643,0.0246541094997166
Belgium,2014,0.0268198053953542,0.0286620164333135,0.024229432595457
Belgium,2015,0.0267691188187557,0.0286410545918824,0.0242010455307489
Belgium,2016,0.026418313776933,0.0284155206191128,0.0237133274877295
Belgium,2017,0.0260505874878552,0.0282221458537159,0.023297096760558
Belgium,2018,0.0258182215847551,0.0280020011658375,0.0230176500637849
Belgium,2019,0.0255881852103564,0.0278956904935233,0.0227846501144684
Bosnia and Herz.,1990,0.0112368214034648,0.0121688002169019,0.0103703825290867
Bosnia and Herz.,1991,0.011094058855534,0.0119847220089179,0.0102883295822575
Bosnia and Herz.,1992,0.0092611412376105,0.0102961060630405,0.0082994776276914
Bosnia and Herz.,1993,0.009712083424111,0.0111742122709322,0.008302148859144
